StockPriceFourYearsGrowth,AssetsLiabilitiesFourYearsGrowth,StockSharesFourYearsGrowth,FCFFourYearsGrowth,ProfitMarginFourYearsGrowth,NetIncomeFourYearsGrowth,RevenueFourYearsGrowth,StockSharesGrowth2021,StockSharesGrowth2020,StockSharesGrowth2019,FCFGrowth2021,FCFGrowth2020,FCFGrowth2019,ProfitMarginGrowth2021,ProfitMarginGrowth2020,ProfitMarginGrowth2019,NetIncomeGrowth2021,NetIncomeGrowth2020,NetIncomeGrowth2019,RevenueGrowth2021,RevenueGrowth2020,RevenueGrowth2019
37.09,32.92,-5.16,-11.1,4.05,110.15,78.68,-3.88,-1.95,0.62,-21.16,68.42,-33.05,-0.1,4.29,-0.15,17.83,73.57,2.75,18.26,46.09,3.43
97.9,-86.76,2.89,93.84,-1.96,-226.01,94.9,2.36,1.04,-0.52,29.19,68.88,-11.15,7.33,-4.15,-5.14,46.48,-86.85,-226.01,33.97,23.37,17.92
-8.22,35.37,-1.08,-8.65,0.8,37.6,33.71,-2.23,0.54,0.63,27.73,2837.35,-97.57,7.18,8.65,-15.03,48.22,118.12,-57.44,10.83,29.42,-6.77
77.04,52.05,2.54,433.42,4.16,75.14,34.7,0.29,1.52,0.71,74.32,12.46,270.07,-0.01,2.19,1.98,14.02,24.79,23.09,14.08,9.66,7.68
6.54,6.32,-3.1,59.7,-0.47,34.74,38.24,-0.76,-0.34,-2.03,2.76,38.54,12.18,-1.1,1.03,-0.4,13.39,12.1,6,20.28,6.11,8.31
-0.79,1293.37,65.47,141.11,-12.16,12.38,178.65,-2.09,-1.43,71.45,-11.49,56.56,73.99,1.77,-2.65,-11.29,39.25,7.28,-24.77,9.25,51.32,68.56
71.74,112.72,-1.15,90.35,7.09,101.27,40.47,-0.77,-0.33,-0.06,27.65,23.68,20.57,1.26,-20.65,26.47,17.83,-40.28,186.02,11.49,15.3,9.28
-51.79,432.5,20.53,1507.9,69.21,4615.14,329.72,3.16,9.23,6.96,18.46,4560.05,125.51,52.29,18.82,-1.9,812.23,355.93,-93.39,57.43,85.63,47.05
42.81,-130.3,2.08,43.76,-2.96,10.3,32.9,-0.31,-4.28,6.97,13.55,5.58,19.91,-3.33,-42.06,42.43,-11.56,-67.9,288.61,8.84,8.03,13.04
83.19,-47.75,-11.08,194.03,10.98,182.56,98.07,-7.18,-1.73,-2.52,53.85,20.12,59.1,6.67,9.08,-4.77,59.83,70.8,3.5,30.8,19.16,27.09
153.2,85.62,306.62,98.44,13.25,156.27,37.18,303.92,-0.28,0.95,32.15,-24.02,97.64,1.19,-8.27,20.34,32.51,-26.2,162.06,26.97,-3.86,12.38
-10.33,131.57,12.59,198.63,15.67,107.02,85.7,3.71,3.89,4.5,19.97,93.18,28.85,7.22,6.73,1.73,110.4,41.24,-14.92,21.02,18.23,29.78
14.08,49.43,2.03,41.15,5.65,22.05,-6.88,0.57,0.77,0.68,32.05,5.53,1.3,0.23,-13.78,19.2,21.36,-46.28,87.2,20.17,-14.92,-8.93
94.49,-722.05,5.29,28.77,8.05,340.82,11.67,0.53,1.35,3.34,-19.45,32.27,20.86,1.75,-1.69,7.99,71.17,-29.59,299.83,16.76,2.19,-6.41
31.78,-36.67,-9.22,-42.15,-6.56,-15.26,17.6,-5.24,-0.08,-4.12,9.44,12.32,-52.94,16.31,-2.13,-20.73,3498.08,-78.6,-88.99,28.46,-2.99,-5.63
32.71,58.8,100.7,47.08,-0.07,32.02,32.61,100.17,0.47,-0.2,-10.3,8.94,50.52,0.63,-0.05,-0.65,32.19,4.19,-4.15,26.48,4.54,0.29
66.1,-96.91,3.18,81.55,2.52,28.88,8.14,-0.41,-0.65,4.28,14.18,-11.37,79.38,2.54,1.68,-1.69,31.19,9.33,-10.14,9.95,-4.63,3.13
97.54,-20.97,-4.59,105.46,-0.33,81.19,84.41,-0.31,-5.36,1.12,25.68,33.81,22.17,-0.52,3.45,-3.26,24.22,47.27,-0.96,27.71,20.33,19.99
-32.24,-502.56,-0.55,372.27,14.48,715.1,70.67,-0.64,0.09,0.0,9.2,-1.53,339.18,-20.54,25.32,9.7,-58.86,463.17,365.47,15.73,15.75,27.41
17.82,18.26,100.27,41.95,12.19,261.2,27.51,-1.21,-0.27,103.27,35.51,23.51,-15.19,12.42,-4.39,4.17,267.92,-38.77,60.33,25.42,3.11,-1.41
6.63,-0.77,-5.76,31.0,-3.27,-11.85,7.1,-0.61,-1.79,-3.46,38.69,-14.41,10.36,17.2,-15.77,-4.7,1038.17,-113.07,-28.11,22.62,-9.39,-3.61
18.1,34.43,1.52,104.12,-3.45,5.03,32.05,0.56,1.78,-0.8,47.76,24.46,11.0,6.62,-4.01,-6.06,146.54,-32.75,-36.65,24.88,6.94,-1.12
-13.87,4.96,-9.01,0.05,-1.48,1.71,14.77,-0.94,-3.28,-5.03,-23.61,37.68,-4.88,3.19,-2.62,-2.05,53.52,-24.43,-12.33,11.14,-0.78,4.08
-58.43,365.0,87.69,175.31,-7.32,-50.71,62.98,-1.93,0.97,89.54,7.05,140.82,6.8,1.88,-1.77,-7.44,163.92,-46.98,-64.78,7.53,25.56,20.71
114.5,-56.38,-8.77,263.84,14.11,548.04,9.32,-7.69,-0.1,-1.08,52.87,96.77,20.95,10.29,1.1,2.72,197.5,14.34,90.51,17.07,-4.46,-2.26
57.85,-27.64,-8.73,-16.49,0.79,53.75,28.45,-5.0,-0.77,-3.18,-40.79,46.2,-3.53,0.48,0.18,0.13,25.38,7.02,14.59,12.87,2.46,11.07
